Time,acc[0],speed[0],acc_iir
54857000,0.311035156,17.4602375,0.09290886
54869000,0.267968744,18.33455467,0.204788522
54880000,0.10527344,18.90509033,0.246412812
54891000,0.138769537,19.56442833,0.217033906
54902000,0.138769537,20.05693626,0.170349166
54914000,0.181835935,20.47082901,0.154832386
54925000,0.124414064,20.92707443,0.157520265
54936000,0.071777344,21.2007122,0.155360633
54947000,0.066992186,21.52465439,0.127223276
54958000,0.033496093,21.7426033,0.098804087
54970000,-0.05263672,21.87918854,0.074943958
54981000,-0.071777344,21.87564659,0.033417525
54993000,-0.071777344,21.72689438,-0.013567993
55004000,-0.062207032,21.59062004,-0.042169395
55016000,-0.10527344,21.36274147,-0.054366176
55027000,-0.062207032,21.12171745,-0.068799241
55038000,-0.009570313,20.89739037,-0.07614056
55051000,-0.023925781,20.747509,-0.05636263
55063000,-0.057421878,20.65294647,-0.036897843
55074000,-0.071777344,20.53425789,-0.038753189
55085000,-0.10527344,20.3195076,-0.051452934
55096000,-0.114843756,20.12436867,-0.069668638
55107000,0.066992186,19.82308197,-0.08951441
55119000,0.047851563,19.68720055,-0.057287171
55131000,0.043066408,19.73834229,-0.000924412
55142000,-0.014355469,19.8604393,0.02186626
55154000,0.014355469,19.92479134,0.018175802
55165000,0.200976565,20.00263977,0.009245048
55176000,0.181835935,20.14500999,0.057604594
55188000,0.057421878,20.46844482,0.123348585
55200000,0.009570313,20.79413795,0.121520906
55211000,-0.291894525,20.86354065,0.078269555
55222000,-0.272753924,20.50777245,-0.02954909
55233000,-0.086132817,19.87928581,-0.153751187
55244000,0.253613293,19.55853844,-0.166375146
55255000,0.564648449,19.5448246,-0.043479929
55267000,0.430664063,20.17486572,0.17891224
55279000,0.406738281,21.15517044,0.335528417
55291000,0.3828125,22.29070854,0.37639569
55302000,0.315820307,23.42523193,0.385426631
55314000,0.066992186,24.30507469,0.367683723
55326000,-0.129199222,24.72338676,0.281069063
55338000,0.066992186,24.77659988,0.127681788
55349000,-0.133984372,24.74666977,0.049661978
55360000,-0.205761716,24.6830864,0.00880192
55371000,-0.38759765,24.36037827,-0.078990755
55383000,-0.492871106,23.5555439,-0.185953101
55395000,-0.545507848,22.30493546,-0.310895247
55406000,-0.39238283,20.83726311,-0.413241469
55417000,-0.114843756,19.55643272,-0.440611794
55428000,0.076562501,19.00479698,-0.348729315
55441000,0.162695318,18.72093201,-0.186784565
55452000,0.19140625,18.89426231,-0.03622705
55464000,0,19.40794373,0.068567887
55475000,-0.019140625,19.63833427,0.081900897
55488000,0.014355469,19.89308739,0.036956144
55500000,0,19.97231674,0.017621988
55511000,0.038281251,20.03996849,0.012490162
55523000,0.119628906,20.12717628,0.015757894
55535000,0.124414064,20.33649826,0.046810089
55547000,0.148339853,20.68893242,0.083765516
55558000,0.081347659,21.05498314,0.109616364
55569000,0.272753924,21.4413147,0.112184864
55581000,0.38759765,21.97989845,0.144057003
55592000,0.425878912,22.5314846,0.235507229
55603000,0.459375024,23.60441399,0.319642307
55614000,0.39238283,24.83002663,0.380071324
55625000,0.172265634,25.90590477,0.402579077
55637000,0.028710939,26.72075844,0.343491367
55649000,-0.287109375,27.01565552,0.224090809
55660000,-0.210546881,26.91970634,0.050500308
55671000,0.258398443,26.3640995,-0.096575944
55683000,-0.090917967,25.97876167,-0.037366928
55694000,-0.119628906,25.71722412,0.022139574
55706000,-0.239257813,25.46413422,-0.04046533
55718000,-0.516796887,24.72456169,-0.108752754
55729000,-0.593359411,23.51329803,-0.241061928
55741000,-0.425878912,21.85859108,-0.395355083
55752000,-0.114843756,20.79924583,-0.451499206
55763000,0.248828128,19.68115425,-0.362496371
55774000,0.526367188,19.50198936,-0.151465411
55786000,0.937890649,20.47159958,0.113405434
55797000,1.315917969,22.6017704,0.41741775
55808000,1.631738305,24.64270401,0.766026874
55819000,1.660449266,28.57226181,1.113807921
55830000,1.550390601,33.2048378,1.375348759
55841000,1.296777368,37.88420486,1.488395172
55853000,0.607714832,41.78846741,1.45654993
55864000,-0.090917967,43.61280441,1.208758179
55876000,-0.301464856,44.89108276,0.741795028
55888000,-0.516796887,44.74537277,0.280911553
